,URL
0,https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
1,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
2,https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear
3,https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
4,https://www.goodreads.com/book/show/68428.The_Final_Empire
5,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
6,https://www.goodreads.com/book/show/7235533-the-way-of-kings
7,https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
8,https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
9,https://www.goodreads.com/book/show/30165203-american-gods
10,https://www.goodreads.com/book/show/127455.The_Lies_of_Locke_Lamora
11,https://www.goodreads.com/book/show/60288648-the-chain-between-worlds
12,https://www.goodreads.com/book/show/28187.The_Lightning_Thief
13,https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell
14,https://www.goodreads.com/book/show/113436.Eragon
15,https://www.goodreads.com/book/show/13497.A_Feast_for_Crows
16,https://www.goodreads.com/book/show/944073.The_Blade_Itself
17,https://www.goodreads.com/book/show/17332218-words-of-radiance
18,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons
19,https://www.goodreads.com/book/show/256683.City_of_Bones
20,https://www.goodreads.com/book/show/2767793-the-hero-of-ages
21,https://www.goodreads.com/book/show/68427.Elantris
22,https://www.goodreads.com/book/show/3227063-the-way-of-shadows
23,https://www.goodreads.com/book/show/2213661.The_Graveyard_Book
24,https://www.goodreads.com/book/show/68429.The_Well_of_Ascension
25,https://www.goodreads.com/book/show/3236307-graceling
26,https://www.goodreads.com/book/show/4556058-the-last-olympian
27,https://www.goodreads.com/book/show/45978.Eldest
28,https://www.goodreads.com/book/show/249747.Artemis_Fowl
29,https://www.goodreads.com/book/show/17061.Coraline
30,https://www.goodreads.com/book/show/3428935-the-warded-man
31,https://www.goodreads.com/book/show/28186.The_Sea_of_Monsters
32,https://www.goodreads.com/book/show/902715.Before_They_Are_Hanged
33,https://www.goodreads.com/book/show/561456.The_Titan_s_Curse
34,https://www.goodreads.com/book/show/2248573.Brisingr
35,https://www.goodreads.com/book/show/334123.The_Amulet_of_Samarkand
36,https://www.goodreads.com/book/show/153008.Kushiel_s_Dart
37,https://www.goodreads.com/book/show/944076.Last_Argument_of_Kings
38,https://www.goodreads.com/book/show/3777732-city-of-glass
39,https://www.goodreads.com/book/show/887877.Red_Seas_Under_Red_Skies
40,https://www.goodreads.com/book/show/2744.Anansi_Boys
41,https://www.goodreads.com/book/show/1582996.City_of_Ashes
42,https://www.goodreads.com/book/show/28876.His_Majesty_s_Dragon
43,https://www.goodreads.com/book/show/9361589-the-night-circus
44,https://www.goodreads.com/book/show/45108.Fool_s_Fate
45,https://www.goodreads.com/book/show/47989.Night_Watch
46,https://www.goodreads.com/book/show/7171637-clockwork-angel
47,https://www.goodreads.com/book/show/1166599.The_Gathering_Storm
48,https://www.goodreads.com/book/show/6122735-the-night-angel-trilogy
49,https://www.goodreads.com/book/show/5091.The_Dark_Tower
