,URL
0,https://www.goodreads.com/book/show/11505797-beautiful-disaster
1,https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey
2,https://www.goodreads.com/book/show/62967897-hopeless
3,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
4,https://www.goodreads.com/book/show/13335037-divergent
5,https://www.goodreads.com/book/show/30333938-slammed
6,https://www.goodreads.com/book/show/15842441-effortless
7,https://www.goodreads.com/book/show/16056408-easy
8,https://www.goodreads.com/book/show/101842164-bared-to-you
9,https://www.goodreads.com/book/show/13517535-thoughtless
10,https://www.goodreads.com/book/show/2767052-the-hunger-games
11,https://www.goodreads.com/book/show/12578077-obsidian
12,https://www.goodreads.com/book/show/16081272-the-edge-of-never
13,https://www.goodreads.com/book/show/16070903-fallen-too-far
14,https://www.goodreads.com/book/show/15745950-walking-disaster
15,https://www.goodreads.com/book/show/256683.City_of_Bones
16,https://www.goodreads.com/book/show/7171637-clockwork-angel
17,https://www.goodreads.com/book/show/15760001-on-dublin-street
18,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
19,https://www.goodreads.com/book/show/6936382-anna-and-the-french-kiss
20,https://www.goodreads.com/book/show/6339664-hush-hush
21,https://www.goodreads.com/book/show/345627.Vampire_Academy
22,https://www.goodreads.com/book/show/15858248-wallbanger
23,https://www.goodreads.com/book/show/13536860-fifty-shades-freed
24,https://www.goodreads.com/book/show/10140661-gabriel-s-inferno
25,https://www.goodreads.com/book/show/101848071-reflected-in-you
26,https://www.goodreads.com/book/show/11857408-fifty-shades-darker
27,https://www.goodreads.com/book/show/4268157-perfect-chemistry
28,https://www.goodreads.com/book/show/41865.Twilight
29,https://www.goodreads.com/book/show/16113791-the-coincidence-of-callie-kayden
30,https://www.goodreads.com/book/show/3090465-the-twilight-saga
31,https://www.goodreads.com/book/show/13628209-the-boy-who-sneaks-in-my-bedroom-window
32,https://www.goodreads.com/book/show/17314430-wait-for-you
33,https://www.goodreads.com/book/show/19390926-point-of-retreat
34,https://www.goodreads.com/book/show/1656001.The_Host
35,https://www.goodreads.com/book/show/8204005-love-unscripted
36,https://www.goodreads.com/book/show/4374400-if-i-stay
37,https://www.goodreads.com/book/show/12900174-the-vincent-boys
38,https://www.goodreads.com/book/show/17029526-never-too-far
39,https://www.goodreads.com/book/show/15724654-the-mighty-storm
40,https://www.goodreads.com/book/show/11614718-delirium
41,https://www.goodreads.com/book/show/16151178-the-sea-of-tranquility
42,https://www.goodreads.com/book/show/6148028-catching-fire
43,https://www.goodreads.com/book/show/15717876-the-secret-of-ella-and-micha
44,https://www.goodreads.com/book/show/17200687-rule
45,https://www.goodreads.com/book/show/11561469-reason-to-breathe
46,https://www.goodreads.com/book/show/15739018-taking-chances
47,https://www.goodreads.com/book/show/13047090-onyx
48,https://www.goodreads.com/book/show/16001893-down-to-you
49,https://www.goodreads.com/book/show/13496738-while-it-lasts
50,https://www.goodreads.com/book/show/16034964-losing-it
51,https://www.goodreads.com/book/show/6068551-shiver
52,https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave
53,https://www.goodreads.com/book/show/8135807-rock-me
54,https://www.goodreads.com/book/show/6487308-fallen
55,https://www.goodreads.com/book/show/10194514-pushing-the-limits
56,https://www.goodreads.com/book/show/6485421-the-mortal-instruments-boxed-set
57,https://www.goodreads.com/book/show/11381643-playing-for-keeps
58,https://www.goodreads.com/book/show/42900.Lover_Awakened
59,https://www.goodreads.com/book/show/13362536-opal
60,https://www.goodreads.com/book/show/13223520-existence
61,https://www.goodreads.com/book/show/3236307-graceling
62,https://www.goodreads.com/book/show/11479285-breathe
63,https://www.goodreads.com/book/show/8709527-bloodlines
64,https://www.goodreads.com/book/show/9680718-half-blood
65,https://www.goodreads.com/book/show/15835685-clash
66,https://www.goodreads.com/book/show/13639050-gabriel-s-rapture
67,https://www.goodreads.com/book/show/17617277-real
68,https://www.goodreads.com/book/show/1162543.Breaking_Dawn
69,https://www.goodreads.com/book/show/8492825-where-she-went
70,https://www.goodreads.com/book/show/13146214-because-of-low
71,https://www.goodreads.com/book/show/11408650-the-unbecoming-of-mara-dyer
72,https://www.goodreads.com/book/show/15783307-the-perfect-game
73,https://www.goodreads.com/book/show/16140036-this-man
74,https://www.goodreads.com/book/show/9961796-lola-and-the-boy-next-door
75,https://www.goodreads.com/book/show/10964.Outlander
76,https://www.goodreads.com/book/show/6644117-the-iron-king
77,https://www.goodreads.com/book/show/7137775-rules-of-attraction
78,https://www.goodreads.com/book/show/17348308-my-favorite-mistake
79,https://www.goodreads.com/book/show/15505346-on-the-island
80,https://www.goodreads.com/book/show/15778138-just-for-now
81,https://www.goodreads.com/book/show/10429045-shatter-me
82,https://www.goodreads.com/book/show/13369678-the-vincent-brothers
83,https://www.goodreads.com/book/show/15852756-naked
84,https://www.goodreads.com/book/show/10025305-clockwork-prince
85,https://www.goodreads.com/book/show/42899.Dark_Lover
86,https://www.goodreads.com/book/show/42745424-that-boy
87,https://www.goodreads.com/book/show/12647642-love-unrehearsed
88,https://www.goodreads.com/book/show/15994590-flat-out-love
89,https://www.goodreads.com/book/show/51737.The_Truth_About_Forever
90,https://www.goodreads.com/book/show/15757434-crash
91,https://www.goodreads.com/book/show/13448656-motorcycle-man
92,https://www.goodreads.com/book/show/10507293-the-selection
93,https://www.goodreads.com/book/show/13600318-reckless
94,https://www.goodreads.com/book/show/7488244-unearthly
95,https://www.goodreads.com/book/show/15748335-leave-me-breathless
96,https://www.goodreads.com/book/show/35534230-significance
97,https://www.goodreads.com/book/show/41060893-in-flight
98,https://www.goodreads.com/book/show/51738.Just_Listen
99,https://www.goodreads.com/book/show/16152943-wanted
100,https://www.goodreads.com/book/show/16102004-beautiful-bastard
101,https://www.goodreads.com/book/show/8662836-chain-reaction
102,https://www.goodreads.com/book/show/35729.Lover_Eternal
103,https://www.goodreads.com/book/show/50659468-a-court-of-mist-and-fury
104,https://www.goodreads.com/book/show/16122163-from-ashes
105,https://www.goodreads.com/book/show/11735983-insurgent
106,https://www.goodreads.com/book/show/7260188-mockingjay
107,https://www.goodreads.com/book/show/15863832-angelfall
108,https://www.goodreads.com/book/show/32822135-archer-s-voice
109,https://www.goodreads.com/book/show/12294652-my-life-next-door
110,https://www.goodreads.com/book/show/304027.Lover_Unbound
111,https://www.goodreads.com/book/show/9712492-providence
112,https://www.goodreads.com/book/show/11356211-darkhouse
113,https://www.goodreads.com/book/show/24445517-maybe-someday
114,https://www.goodreads.com/book/show/16068905-fangirl
115,https://www.goodreads.com/book/show/8379374-backstage-pass
116,https://www.goodreads.com/book/show/112750.Darkfever
117,https://www.goodreads.com/book/show/33648131-the-notebook
118,https://www.goodreads.com/book/show/17158596-collide
119,https://www.goodreads.com/book/show/16093188-up-to-me
120,https://www.goodreads.com/book/show/18819167-mystery-man
121,https://www.goodreads.com/book/show/13188676-ignite-me
122,https://www.goodreads.com/book/show/15990969-ten-tiny-breaths
123,https://www.goodreads.com/book/show/16070521-come-away-with-me
124,https://www.goodreads.com/book/show/5098079-lover-avenged
125,https://www.goodreads.com/book/show/16134551-fallen-crest-high
126,https://www.goodreads.com/book/show/6931356-the-duff
127,https://www.goodreads.com/book/show/10637766-silence
128,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
129,https://www.goodreads.com/book/show/25437891-the-v-girl
130,https://www.goodreads.com/book/show/35545737-a-walk-to-remember
131,https://www.goodreads.com/book/show/428263.Eclipse
132,https://www.goodreads.com/book/show/7735333-matched
133,https://www.goodreads.com/book/show/101852652-entwined-with-you
134,https://www.goodreads.com/book/show/3777732-city-of-glass
135,https://www.goodreads.com/book/show/23016317-seduction-and-snacks
136,https://www.goodreads.com/book/show/4556058-the-last-olympian
137,https://www.goodreads.com/book/show/13584236-fifty-shades-trilogy
138,https://www.goodreads.com/book/show/11227040-sweet-dreams
139,https://www.goodreads.com/book/show/11201007-hearts-in-darkness
140,https://www.goodreads.com/book/show/49041.New_Moon
141,https://www.goodreads.com/book/show/12351649-perfection
142,https://www.goodreads.com/book/show/18149927-beneath-this-man
143,https://www.goodreads.com/book/show/2802316-shadow-kiss
144,https://www.goodreads.com/book/show/30618705-the-marriage-bargain
145,https://www.goodreads.com/book/show/18297707-tangled
146,https://www.goodreads.com/book/show/16029994-sins-needles
147,https://www.goodreads.com/book/show/7046495-lover-mine
148,https://www.goodreads.com/book/show/18335634-clockwork-princess
149,https://www.goodreads.com/book/show/7791997-crescendo
150,https://www.goodreads.com/book/show/15993374-charade
151,https://www.goodreads.com/book/show/75946108-the-gamble
152,https://www.goodreads.com/book/show/22205.This_Lullaby
153,https://www.goodreads.com/book/show/16090636-fight-with-me
154,https://www.goodreads.com/book/show/11808950-sweet-evil
155,https://www.goodreads.com/book/show/45484397-the-deal
156,https://www.goodreads.com/book/show/25420031-vain
157,https://www.goodreads.com/book/show/6304335-beautiful-creatures
158,https://www.goodreads.com/book/show/6527740-last-sacrifice
159,https://www.goodreads.com/book/show/6538757-rock-chick
160,https://www.goodreads.com/book/show/1582996.City_of_Ashes
161,https://www.goodreads.com/book/show/8680278-we-ll-always-have-summer
162,https://www.goodreads.com/book/show/21787.The_Princess_Bride
163,https://www.goodreads.com/book/show/13412515-law-man
164,https://www.goodreads.com/book/show/12958487-lady-luck
165,https://www.goodreads.com/book/show/5287473-hex-hall
166,https://www.goodreads.com/book/show/4570679-going-too-far
167,https://www.goodreads.com/book/show/13565914-knight
168,https://www.goodreads.com/book/show/18627856-damian
169,https://www.goodreads.com/book/show/38619.Magic_Bites
170,https://www.goodreads.com/book/show/13617933-into-the-hollow
171,https://www.goodreads.com/book/show/544424.Leaving_Paradise
172,https://www.goodreads.com/book/show/2156.Persuasion
173,https://www.goodreads.com/book/show/140077.Dead_to_the_World
174,https://www.goodreads.com/book/show/15745753-eleanor-park
175,https://www.goodreads.com/book/show/17333880-twisted-perfection
176,https://www.goodreads.com/book/show/65151985-dome
177,https://www.goodreads.com/book/show/5664985-along-for-the-ride
178,https://www.goodreads.com/book/show/42898.Lover_Revealed
179,https://www.goodreads.com/book/show/9659607-the-iron-knight
180,https://www.goodreads.com/book/show/16001443-all-in
181,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
182,https://www.goodreads.com/book/show/76703559-throne-of-glass
183,https://www.goodreads.com/book/show/15981894-devoured
184,https://www.goodreads.com/book/show/2299110.Acheron
185,https://www.goodreads.com/book/show/13624367-checkmate
186,https://www.goodreads.com/book/show/16117506-beautiful-stranger
187,https://www.goodreads.com/book/show/15746858-the-dex-files
188,https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone
189,https://www.goodreads.com/book/show/17340050-losing-hope
190,https://www.goodreads.com/book/show/16117804-the-proposal
191,https://www.goodreads.com/book/show/8755776-city-of-lost-souls
192,https://www.goodreads.com/book/show/11227043-rock-chick-revenge
193,https://www.goodreads.com/book/show/15799166-release-me
194,https://www.goodreads.com/book/show/17375956-reaper-s-property
195,https://www.goodreads.com/book/show/12881141-wild-man
196,https://www.goodreads.com/book/show/18338465-sempre
197,https://www.goodreads.com/book/show/27266.Glass_Houses
198,https://www.goodreads.com/book/show/41831210-pestilence
199,https://www.goodreads.com/book/show/9442157-rock-hard
200,https://www.goodreads.com/book/show/17788401-ugly-love
201,https://www.goodreads.com/book/show/6261522-the-body-finder
202,https://www.goodreads.com/book/show/16136959-mile-high
203,https://www.goodreads.com/book/show/13061289-lying-season
204,https://www.goodreads.com/book/show/20803953-bully
205,https://www.goodreads.com/book/show/16109563-undeniable
206,https://www.goodreads.com/book/show/9275658-legend
207,https://www.goodreads.com/book/show/6752378-city-of-fallen-angels
208,https://www.goodreads.com/book/show/114166.Devil_in_Winter
209,https://www.goodreads.com/book/show/60288648-the-chain-between-worlds
210,https://www.goodreads.com/book/show/16079228-beautifully-damaged
211,https://www.goodreads.com/book/show/10210.Jane_Eyre
212,https://www.goodreads.com/book/show/9799572-rock-chick-redemption
213,https://www.goodreads.com/book/show/19095025-play
214,https://www.goodreads.com/book/show/10993282-lover-reborn
215,https://www.goodreads.com/book/show/16119079-forever-my-girl
216,https://www.goodreads.com/book/show/12925063-inescapable
217,https://www.goodreads.com/book/show/18597016-chasing-nikki
218,https://www.goodreads.com/book/show/17377345-nearly-broken
219,https://www.goodreads.com/book/show/12322385-dead-sky-morning
220,https://www.goodreads.com/book/show/9462795-starcrossed
221,https://www.goodreads.com/book/show/16047244-rock-the-heart
222,https://www.goodreads.com/book/show/9279734-forever-mine
223,https://www.goodreads.com/book/show/13104080-unravel-me
224,https://www.goodreads.com/book/show/2282133.Frostbite
225,https://www.goodreads.com/book/show/5996153-blood-promise
226,https://www.goodreads.com/book/show/15784909-this-girl
227,https://www.goodreads.com/book/show/17983690-lick
228,https://www.goodreads.com/book/show/36381037-cinder
229,https://www.goodreads.com/book/show/7600924-forbidden
230,https://www.goodreads.com/book/show/8341567-the-perfect-play
231,https://www.goodreads.com/book/show/13644052-origin
232,https://www.goodreads.com/book/show/16062211-the-proposition
233,https://www.goodreads.com/book/show/15742039-breathe
234,https://www.goodreads.com/book/show/1240662.Lover_Enshrined
235,https://www.goodreads.com/book/show/13442031-on-demon-wings
236,https://www.goodreads.com/book/show/7304203-shadowfever
237,https://www.goodreads.com/book/show/11410104-the-summer-i-turned-pretty-trilogy
238,https://www.goodreads.com/book/show/8492319-lover-unleashed
239,https://www.goodreads.com/book/show/30164950-driven
240,https://www.goodreads.com/book/show/7778981-halo
241,https://www.goodreads.com/book/show/12513614-captive-in-the-dark
242,https://www.goodreads.com/book/show/7664334-amy-roger-s-epic-detour
243,https://www.goodreads.com/book/show/11710500-red-fox
244,https://www.goodreads.com/book/show/11594257-under-the-never-sky
245,https://www.goodreads.com/book/show/83144.The_Bronze_Horseman
246,https://www.goodreads.com/book/show/10813469-rock-chick-renegade
247,https://www.goodreads.com/book/show/6185.Wuthering_Heights
248,https://www.goodreads.com/book/show/16102880-bad-rep
249,https://www.goodreads.com/book/show/18631291-finding-cinderella
250,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility
251,https://www.goodreads.com/book/show/60510.Poison_Study
252,https://www.goodreads.com/book/show/7039218-once-burned
